Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
363,HS,WBCHSE ,90.0,85.0,62,55,73.0,61.0,83.0,74.2,93.71,WBBSE,Bengali,273.0,68.25,83.955,Medium,61.0,87.5,83.955,0.2271062271062271,0.304029304029304,1.042225001488893,0,0,0.282497149372862,0.1080387685290764,0.4991448118586089,0.05843785632839225,6
364,SSCE,CBSE,88.0,84.0,57,56,58.0,81.0,83.0,73.6,92.8,CBSE,English,254.0,63.5,83.19999999999999,Medium,81.0,86.0,83.19999999999999,0.22440944881889763,0.32677165354330706,1.0336538461538463,1,1,0.18899657924743443,0.12343215507411631,0.4991448118586089,0.7115165336374002,6
365,HS,WBCHSE,93.0,74.0,60,73,61.0,58.0,83.0,72.2,85.7,WBBSE,English,277.0,69.25,78.95,Medium,58.0,83.5,78.95,0.21660649819494585,0.2996389891696751,1.0576314122862571,0,1,0.2354618015963512,0.45923603192702395,0.4991448118586089,0.04133409350057012,9
366,HS,WBCHSE,94.0,95.0,78,76,67.0,72.0,83.0,83.0,0.94,WBBSE,Bengali,304.0,76.0,41.97,Medium,72.0,94.5,41.97,0.2565789473684211,0.2730263157894737,2.2516082916368836,0,0,0.5920752565564424,0.5267958950969214,0.4991448118586089,0.18329532497149373,4
367,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,74.0,66.0,64,55,61.0,80.0,83.0,69.6,0.75,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,263.0,65.75,35.175,Medium,80.0,70.0,35.175,0.24334600760456274,0.3155893536121673,1.9900497512437814,0,0,0.3209806157354618,0.1080387685290764,0.4991448118586089,0.4985746864310148,12
368,HS,West Bengal Council Of Higher Secondary Education ,81.0,91.0,93,80,87.0,80.0,75.0,86.4,89.714,West Bengal Board of Secondary Education ,Bengali,335.0,83.75,88.057,High,80.0,86.0,88.057,0.27761194029850744,0.22388059701492538,0.9766401308243524,0,0,0.8848346636259977,0.61345496009122,0.09350057012542759,0.4985746864310148,2
369,HS,WBCHSE,80.0,86.0,88,70,90.0,80.0,88.0,86.4,93.5,WBBSE,English,336.0,84.0,89.95,High,80.0,83.0,89.95,0.2619047619047619,0.2619047619047619,0.9227348526959421,0,1,0.7847776510832383,0.3848346636259977,0.8822690992018244,0.4985746864310148,2
370,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,81.0,86.0,84,63,80.0,96.0,83.0,85.4,91.28,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,310.0,77.5,88.34,Medium,96.0,83.5,88.34,0.2709677419354839,0.267741935483871,0.9452116821371972,0,0,0.7115165336374002,0.2508551881413911,0.4991448118586089,0.9774800456100342,4
371,Other,CBSE,85.0,86.0,77,61,63.0,74.0,83.0,72.0,85.0,CBSE,English,284.0,71.0,78.5,Medium,74.0,85.5,78.5,0.2711267605633803,0.29225352112676056,1.089171974522293,1,1,0.5738312428734321,0.20496009122006842,0.4991448118586089,0.2112314709236032,9
372,ISC,CISCE,90.0,90.0,86,91,94.0,80.0,83.0,90.2,94.8,CISCE,English,354.0,88.5,92.5,High,80.0,90.0,92.5,0.24293785310734464,0.2344632768361582,0.972972972972973,0,1,0.750570125427594,0.8902508551881414,0.4991448118586089,0.4985746864310148,1
373,HS,West Bengal Board of Higher Secondary Education ,90.0,83.0,67,70,84.0,93.0,83.0,84.0,83.14,West Bengal Board of Secondary ,English,304.0,76.0,83.57,Medium,93.0,86.5,83.57,0.22039473684210525,0.2730263157894737,1.0350604283833913,0,1,0.37457240592930446,0.3848346636259977,0.4991448118586089,0.935290763968073,4
374,HS,West Bengal Council of Higher Secondary Education,95.0,95.0,92,72,80.0,96.0,83.0,91.6,0.874,West Bengal Board of Secondary Education,Bengali,327.0,81.75,46.237,High,96.0,95.0,46.236999999999995,0.28134556574923547,0.25382262996941896,2.0546315721175685,0,0,0.8657354618015963,0.4372862029646522,0.4991448118586089,0.9774800456100342,2
375,ISC,Isc,63.0,63.0,49,77,68.0,80.0,97.0,73.6,81.67,ICSE,English,291.0,72.75,77.63499999999999,Medium,80.0,63.0,77.63499999999999,0.16838487972508592,0.3333333333333333,0.8114896631673859,0,1,0.08437856328392246,0.5538768529076397,0.9823261117445838,0.4985746864310148,5
376,Other,CBSE,93.0,93.0,74,67,71.0,80.0,66.0,79.6,95.0,ICSE,English,278.0,69.5,87.3,Medium,80.0,93.0,87.3,0.26618705035971224,0.23741007194244604,1.0652920962199313,1,1,0.5017103762827823,0.33409350057012543,0.04532497149372862,0.4985746864310148,6
377,HS,West Bengal Council of Higher Secondary Education ,80.0,90.0,84,68,81.0,62.0,83.0,80.6,0.8257,West Bengal Council Of Higher Secondary Education ,Bengali,316.0,79.0,40.71285,Medium,62.0,85.0,40.712849999999996,0.26582278481012656,0.2626582278481013,2.0877929204170185,0,0,0.7115165336374002,0.35347776510832385,0.4991448118586089,0.06870011402508552,4
378,Other,Central Board of Secondary Education ,79.0,86.0,62,78,83.0,83.0,83.0,77.0,95.6,Indian Certificate of Secondary Education ,English,306.0,76.5,86.3,Medium,83.0,82.5,86.3,0.20261437908496732,0.27124183006535946,0.9559675550405562,0,1,0.282497149372862,0.5781071835803877,0.4991448118586089,0.7557012542759407,4
379,Other,CBSE,92.0,92.0,49,71,67.0,76.0,83.0,79.6,85.67,CISCE,English,270.0,67.5,82.63499999999999,Medium,76.0,92.0,82.63499999999999,0.1814814814814815,0.3074074074074074,1.1133297029103892,1,1,0.08437856328392246,0.41191562143671606,0.4991448118586089,0.2525655644241733,6
380,SSCE,Central Board of Secondary Education (CBSE),97.0,89.0,77,67,69.0,87.0,83.0,83.8,88.5,Council for the Indian School Certificate Examinations (CISCE),English,296.0,74.0,86.15,Medium,87.0,93.0,86.15,0.26013513513513514,0.28040540540540543,1.0795124782356353,1,1,0.5738312428734321,0.33409350057012543,0.4991448118586089,0.8278221208665907,6
381,HS,CBSE,73.0,86.0,70,72,68.0,94.0,83.0,75.4,91.4,CBSE,English,293.0,73.25,83.4,Medium,94.0,79.5,83.4,0.23890784982935154,0.2832764505119454,0.9532374100719424,1,1,0.4258836944127708,0.4372862029646522,0.4991448118586089,0.9503990877993158,6
382,SSCE,CENTRAL BOARD OF SECONDARY EDUCATION ,85.0,70.0,53,70,69.0,80.0,83.0,69.4,82.0,CENTRAL BOARD OF SECONDARY EDUCATION,English,275.0,68.75,75.7,Medium,80.0,77.5,75.7,0.19272727272727272,0.3018181818181818,1.023778071334214,0,1,0.12229190421892816,0.3848346636259977,0.4991448118586089,0.4985746864310148,10
383,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,75.0,91.0,74,76,80.0,76.0,83.0,79.6,92.71,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,313.0,78.25,86.155,Medium,76.0,83.0,86.155,0.2364217252396166,0.26517571884984026,0.9633799547327491,0,0,0.5017103762827823,0.5267958950969214,0.4991448118586089,0.2525655644241733,4
384,ISC,Cisce,86.0,86.0,75,64,63.0,76.0,83.0,72.8,91.8,Cisce ,English,285.0,71.25,82.3,Medium,76.0,86.0,82.3,0.2631578947368421,0.2912280701754386,1.0449574726609965,0,1,0.5253705815279361,0.2759407069555302,0.4991448118586089,0.2525655644241733,6
385,SSCE,CBSE ,78.0,78.0,59,60,61.0,80.0,78.0,71.0,74.0,ICSE ,English,258.0,64.5,72.5,Medium,80.0,78.0,72.5,0.22868217054263565,0.3023255813953488,1.0758620689655172,1,1,0.21522234891676167,0.1790193842645382,0.11345496009122007,0.4985746864310148,10
386,ISC,Council for the Indian School certificate,69.0,86.0,59,49,57.0,80.0,78.0,62.4,73.6,ICSE,English,243.0,60.75,68.0,Medium,80.0,77.5,68.0,0.24279835390946503,0.32098765432098764,1.1397058823529411,0,1,0.21522234891676167,0.011687571265678449,0.11345496009122007,0.4985746864310148,12
387,HS,West Bengal Council Of Higher Secondary Education,76.0,80.0,66,55,62.0,74.0,83.0,71.6,90.85,West Bengal Board Of Secondary Education,Bengali,266.0,66.5,81.225,Medium,74.0,78.0,81.225,0.24812030075187969,0.31203007518796994,0.9602954755309326,0,0,0.3566134549600912,0.1080387685290764,0.4991448118586089,0.2112314709236032,10
388,HS,WBCHSE ,72.0,87.0,54,74,86.0,66.0,83.0,77.0,86.0,WBBSE ,Bengali,297.0,74.25,81.5,Medium,66.0,79.5,81.5,0.18181818181818182,0.27946127946127947,0.9754601226993865,0,0,0.13968072976054732,0.47690992018244016,0.4991448118586089,0.11345496009122007,10
389,Other,CBSE,69.0,86.0,56,61,58.0,60.0,83.0,60.8,74.8,CBSE,English,258.0,64.5,67.8,Medium,60.0,77.5,67.8,0.21705426356589147,0.32170542635658916,1.1430678466076696,1,1,0.17103762827822122,0.20496009122006842,0.4991448118586089,0.049600912200684154,19
390,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,81.0,88.0,92,82,76.0,88.0,83.0,86.2,91.57,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,333.0,83.25,88.88499999999999,High,88.0,84.5,88.88499999999999,0.27627627627627627,0.24924924924924924,0.9506665916633854,0,0,0.8657354618015963,0.677023945267959,0.4991448118586089,0.8483466362599772,2
391,HS,WBCHSE,77.0,90.0,70,68,77.0,80.0,83.0,78.8,91.0,WBBSE,Bengali,298.0,74.5,84.9,Medium,80.0,83.5,84.9,0.2348993288590604,0.2785234899328859,0.9835100117785629,0,0,0.4258836944127708,0.35347776510832385,0.4991448118586089,0.4985746864310148,6
392,HS,WBCHSE ,82.0,94.0,90,70,81.0,58.0,83.0,83.4,90.7,WBBSE,Bengali,324.0,81.0,87.05000000000001,High,58.0,88.0,87.05000000000001,0.2777777777777778,0.25617283950617287,1.0109132682366455,0,0,0.8192702394526796,0.3848346636259977,0.4991448118586089,0.04133409350057012,2
393,HS,WBCHSE,85.0,96.0,85,73,75.0,87.0,83.0,85.6,91.1,WBBSE,Bengali,316.0,79.0,88.35,Medium,87.0,90.5,88.35,0.2689873417721519,0.2626582278481013,1.0243350311262027,0,0,0.7320410490307868,0.45923603192702395,0.4991448118586089,0.8278221208665907,4
394,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,75.0,80.0,91,63,52.0,80.0,60.0,73.8,77.42,WEST BENGAL BOARD OF SECONDARY EDUCA,Bengali,266.0,66.5,75.61,Medium,80.0,77.5,75.61,0.34210526315789475,0.22556390977443608,1.024996693559053,0,0,0.8454960091220068,0.2508551881413911,0.020524515393386546,0.4985746864310148,7
395,Other,BSEB,77.0,86.0,66,81,75.0,75.0,83.0,74.8,64.0,BSEB,English,305.0,76.25,69.4,Medium,75.0,81.5,69.4,0.21639344262295082,0.2721311475409836,1.174351585014409,0,1,0.3566134549600912,0.6476624857468644,0.4991448118586089,0.23090079817559864,4
396,HS,West Bengal Council of Higher Secondary Education ,86.0,96.0,73,65,66.0,77.0,83.0,79.6,93.0,West Bengal Board of Secondary Education ,Bengali,287.0,71.75,86.3,Medium,77.0,91.0,86.3,0.25435540069686413,0.289198606271777,1.0544611819235226,0,0,0.4823261117445838,0.2967502850627138,0.4991448118586089,0.27137970353477764,6
397,Other,NIOS ,93.0,86.0,53,69,44.0,84.0,83.0,68.6,0.85,CBSE,English,249.0,62.25,34.724999999999994,Medium,84.0,89.5,34.724999999999994,0.21285140562248997,0.3333333333333333,2.5773938084953207,0,1,0.12229190421892816,0.36630558722919043,0.4991448118586089,0.7725199543899658,9
398,Other,Central Board Of Secondary Education,94.0,86.0,68,61,73.0,80.0,71.0,73.4,0.93,Indian Certificate of Secondary Education,English,273.0,68.25,37.165000000000006,Medium,80.0,90.0,37.165000000000006,0.2490842490842491,0.2600732600732601,2.4216332570967305,0,1,0.3939566704675028,0.20496009122006842,0.06784492588369441,0.4985746864310148,9
399,HS,WBCHSE,82.0,81.0,68,56,60.0,77.0,83.0,73.6,0.86,WBBSE,Bengali,267.0,66.75,37.23,Medium,77.0,81.5,37.23,0.2546816479400749,0.31086142322097376,2.1890948160085952,0,0,0.3939566704675028,0.12343215507411631,0.4991448118586089,0.27137970353477764,13
400,HS,West Bengal Council of Higher Secondary Education,80.0,94.0,91,73,65.0,80.0,74.0,82.4,89.86,West Bengal Board of Secondary Education,Bengali,303.0,75.75,86.13,Medium,80.0,87.0,86.13,0.30033003300330036,0.24422442244224424,1.0101010101010102,0,0,0.8454960091220068,0.45923603192702395,0.08551881413911061,0.4985746864310148,4
401,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,80.0,85.0,57,54,80.0,80.0,65.0,73.4,90.7,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,256.0,64.0,82.05000000000001,Medium,80.0,82.5,82.05000000000001,0.22265625,0.25390625,1.0054844606946982,0,0,0.18899657924743443,0.09606613454960092,0.039623717217787915,0.4985746864310148,6
402,HS,WBCHSE,76.0,88.0,88,77,72.0,82.0,83.0,82.2,95.86,WBBSE,Bengali,320.0,80.0,89.03,Medium,82.0,82.0,89.03,0.275,0.259375,0.9210378524093003,0,0,0.7847776510832383,0.5538768529076397,0.4991448118586089,0.7346066134549601,2
403,HS,WBCHSE,54.0,67.0,82,56,67.0,80.0,81.0,70.6,85.7,WBBSE,English,286.0,71.5,78.15,Medium,80.0,60.5,78.15,0.2867132867132867,0.28321678321678323,0.7741522712731925,0,1,0.6710376282782212,0.12343215507411631,0.13911060433295325,0.4985746864310148,7
404,HS,West Bengal Council of Higher Secondary Education,62.0,71.0,44,50,51.0,80.0,73.0,61.4,0.726,West Bengal Board of Secondary Education,Bengali,218.0,54.5,31.063,Low,80.0,66.5,31.063,0.2018348623853211,0.3348623853211009,2.140810610694395,0,0,0.02708095781071836,0.021379703534777653,0.07953249714937287,0.4985746864310148,12
405,HS,WBBSE,70.0,74.0,44,51,51.0,63.0,83.0,61.8,0.6542,WBBSE ,Bengali,229.0,57.25,31.2271,Low,63.0,72.0,31.2271,0.19213973799126638,0.3624454148471616,2.3056896093457286,0,0,0.02708095781071836,0.042759407069555305,0.4991448118586089,0.07782212086659065,20
406,SSCE,CBSE,66.0,86.0,70,61,63.0,64.0,83.0,64.8,79.6,CBSE,English,277.0,69.25,72.19999999999999,Medium,64.0,76.0,72.19999999999999,0.2527075812274368,0.2996389891696751,1.0526315789473686,1,1,0.4258836944127708,0.20496009122006842,0.4991448118586089,0.08637400228050171,10
407,ISC,COUNCIL FOR INDIAN SCHOOL CERTIFICATE EXAMINATIONS,57.0,86.0,36,46,42.0,80.0,64.0,49.0,77.0,ICSE,English,188.0,47.0,63.0,Low,80.0,71.5,63.0,0.19148936170212766,0.3404255319148936,1.1349206349206349,0,1,0.0028506271379703536,0.0037058152793614596,0.033352337514253136,0.4985746864310148,12
408,HS,WBCHSE,80.0,86.0,95,77,88.0,80.0,71.0,85.2,0.897,WBBSE,Bengali,331.0,82.75,43.0485,High,80.0,83.0,43.048500000000004,0.28700906344410876,0.21450151057401812,1.9280578881958719,0,0,0.9233181299885975,0.5538768529076397,0.06784492588369441,0.4985746864310148,2
409,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,87.0,90.0,67,66,75.0,83.0,83.0,80.4,0.92,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,291.0,72.75,40.66,Medium,83.0,88.5,40.660000000000004,0.23024054982817868,0.2852233676975945,2.176586325627152,0,0,0.37457240592930446,0.31442417331813,0.4991448118586089,0.7557012542759407,9
410,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,93.0,93.0,78,72,80.0,72.0,83.0,83.2,92.0,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,313.0,78.25,87.6,Medium,72.0,93.0,87.6,0.24920127795527156,0.26517571884984026,1.0616438356164384,0,0,0.5920752565564424,0.4372862029646522,0.4991448118586089,0.18329532497149373,4
411,ISC,CISCE,89.0,80.0,80,63,73.0,90.0,83.0,82.4,91.8,CISCE,English,299.0,74.75,87.1,Medium,90.0,84.5,87.1,0.26755852842809363,0.27759197324414714,0.9701492537313433,0,1,0.6271379703534777,0.2508551881413911,0.4991448118586089,0.8762827822120867,6
412,HS,WEST BENGAL COUNSELLING OF HIGHER SECONDARY EDUCATION,77.0,93.0,70,63,70.0,82.0,83.0,78.4,97.3,WEST BENGAL COUNSELLING OF HIGHER SECONDARY EDUCATION,Bengali,286.0,71.5,87.85,Medium,82.0,85.0,87.85,0.24475524475524477,0.2902097902097902,0.9675583380762665,0,0,0.4258836944127708,0.2508551881413911,0.4991448118586089,0.7346066134549601,6
413,HS,WBCHSE,77.0,95.0,67,63,57.0,76.0,83.0,75.6,0.775,WBCHSE ,Bengali,270.0,67.5,38.1875,Medium,76.0,86.0,38.1875,0.24814814814814815,0.3074074074074074,2.252045826513912,0,0,0.37457240592930446,0.2508551881413911,0.4991448118586089,0.2525655644241733,9
414,HS,West Bengal council of higher secondary education ,58.0,67.0,70,66,74.0,51.0,83.0,67.0,84.6,Central board of secondary education ,English,293.0,73.25,75.8,Medium,51.0,62.5,75.8,0.23890784982935154,0.2832764505119454,0.8245382585751979,0,1,0.4258836944127708,0.31442417331813,0.4991448118586089,0.013397947548460661,10
415,SSCE,CBSE,76.0,86.0,64,61,81.0,80.0,76.0,71.6,92.0,CBSE,English,282.0,70.5,81.8,Medium,80.0,81.0,81.8,0.22695035460992907,0.2695035460992908,0.9902200488997556,1,1,0.3209806157354618,0.20496009122006842,0.10119726339794755,0.4985746864310148,10
416,HS,West Bengal Council of Higher Secondary Education ,78.0,96.0,90,75,60.0,78.0,83.0,83.4,95.0,West Bengal Board of Secondary Education ,Bengali,308.0,77.0,89.2,Medium,78.0,87.0,89.2,0.2922077922077922,0.2694805194805195,0.9753363228699551,0,0,0.8192702394526796,0.4991448118586089,0.4991448118586089,0.2859179019384265,3
417,HS,west bengal board of higher secondary education,62.0,90.0,88,80,76.0,82.0,83.0,83.2,79.0,west bengal board of secondary education,English,327.0,81.75,81.1,High,82.0,76.0,81.1,0.2691131498470948,0.25382262996941896,0.9371146732429101,0,1,0.7847776510832383,0.61345496009122,0.4991448118586089,0.7346066134549601,2
418,Other,CBSE,75.0,86.0,54,56,53.0,80.0,59.0,59.4,95.2,CISCE,English,222.0,55.5,77.3,Low,80.0,80.5,77.3,0.24324324324324326,0.26576576576576577,1.0413971539456663,1,1,0.13968072976054732,0.12343215507411631,0.01767388825541619,0.4985746864310148,10
419,HS,WBCHSE,83.0,92.0,53,63,73.0,78.0,83.0,77.8,88.14,WBBSE,English,272.0,68.0,82.97,Medium,78.0,87.5,82.97,0.1948529411764706,0.30514705882352944,1.0545980474870436,0,1,0.12229190421892816,0.2508551881413911,0.4991448118586089,0.2859179019384265,6
420,HS,WBCHSE ,80.0,90.0,81,56,76.0,90.0,83.0,83.4,85.4,WBBSE,Bengali,296.0,74.0,84.4,Medium,90.0,85.0,84.4,0.27364864864864863,0.28040540540540543,1.0071090047393365,0,0,0.6505131128848347,0.12343215507411631,0.4991448118586089,0.8762827822120867,6
421,HS,West Bengal Council of Higher Secondary Education,78.0,98.0,77,80,81.0,85.0,83.0,84.4,97.57,West Bengal Board of Secondary Education,Bengali,321.0,80.25,90.985,High,85.0,88.0,90.985,0.2398753894080997,0.2585669781931464,0.9671923943507171,0,0,0.5738312428734321,0.61345496009122,0.4991448118586089,0.7907639680729761,2
422,HS,Wbchse,76.0,86.0,92,60,78.0,66.0,83.0,79.6,0.8914,Wbbse,Bengali,313.0,78.25,40.2457,Medium,66.0,81.0,40.2457,0.2939297124600639,0.26517571884984026,2.0126373749245263,0,0,0.8657354618015963,0.1790193842645382,0.4991448118586089,0.11345496009122007,3
423,HS,WBCHSE,85.0,91.0,74,51,82.0,75.0,83.0,81.4,92.85,WBBSE,Bengali,290.0,72.5,87.125,Medium,75.0,88.0,87.125,0.25517241379310346,0.28620689655172415,1.0100430416068866,0,0,0.5017103762827823,0.042759407069555305,0.4991448118586089,0.23090079817559864,6
424,HS,Higher secondary ,83.0,80.0,75,63,60.0,63.0,83.0,72.8,90.0,West Bengal secondary exams ,Bengali,281.0,70.25,81.4,Medium,63.0,81.5,81.4,0.2669039145907473,0.29537366548042704,1.0012285012285012,0,0,0.5253705815279361,0.2508551881413911,0.4991448118586089,0.07782212086659065,10
425,HS,West Bengal Board ,80.0,90.0,63,72,66.0,62.0,83.0,74.2,86.86,West Bengal Board ,Bengali,284.0,71.0,80.53,Medium,62.0,85.0,80.53,0.22183098591549297,0.29225352112676056,1.0555072643735255,0,0,0.3024515393386545,0.4372862029646522,0.4991448118586089,0.06870011402508552,9
426,HS,WBCHSE,74.0,86.0,44,61,61.0,80.0,81.0,72.6,0.9157,WBBSE,Bengali,247.0,61.75,36.75785,Medium,80.0,80.0,36.75785,0.17813765182186234,0.32793522267206476,2.176405856164058,0,0,0.02708095781071836,0.20496009122006842,0.13911060433295325,0.4985746864310148,12
427,HS,WBCHSE,74.0,90.0,86,65,73.0,81.0,83.0,80.8,73.71,WBBSE,Bengali,307.0,76.75,77.255,Medium,81.0,82.0,77.255,0.28013029315960913,0.2703583061889251,1.0614199728172935,0,0,0.750570125427594,0.2967502850627138,0.4991448118586089,0.7115165336374002,4
428,SSCE,CBSE,91.0,86.0,70,66,56.0,80.0,65.0,69.6,84.83,ICSE,English,257.0,64.25,77.215,Medium,80.0,88.5,77.215,0.2723735408560311,0.2529182879377432,1.1461503593861295,1,1,0.4258836944127708,0.31442417331813,0.039623717217787915,0.4985746864310148,9
429,HS,WBCHSE,86.0,97.0,62,72,73.0,78.0,83.0,81.2,90.28,West Bengal Board ,Bengali,290.0,72.5,85.74000000000001,Medium,78.0,91.5,85.74000000000001,0.21379310344827587,0.28620689655172415,1.067179846046186,0,0,0.282497149372862,0.4372862029646522,0.4991448118586089,0.2859179019384265,6
430,HS,WBCHSE,70.0,90.0,90,51,75.0,72.0,83.0,79.4,89.7,WBBSE,Bengali,299.0,74.75,84.55000000000001,Medium,72.0,80.0,84.55000000000001,0.3010033444816054,0.27759197324414714,0.9461856889414546,0,0,0.8192702394526796,0.042759407069555305,0.4991448118586089,0.18329532497149373,3
431,HS,West Bengal Council Higher Secondary Education ,80.0,81.0,84,52,65.0,75.0,83.0,77.0,84.0,West Bengal Board of Secondary Education ,Bengali,284.0,71.0,80.5,Medium,75.0,80.5,80.5,0.29577464788732394,0.29225352112676056,1.0,0,0,0.7115165336374002,0.06727480045610035,0.4991448118586089,0.23090079817559864,7
432,HS,WBCHSE,52.0,85.0,73,64,56.0,80.0,66.0,68.8,72.0,WBBSE,Bengali,259.0,64.75,70.4,Medium,80.0,68.5,70.4,0.28185328185328185,0.2548262548262548,0.9730113636363635,0,0,0.4823261117445838,0.2759407069555302,0.04532497149372862,0.4985746864310148,12
433,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION ,90.0,90.0,87,74,92.0,91.0,83.0,90.0,90.0,WEST BENGAL BOARD OF SECONDARY EDUCATION ,Bengali,336.0,84.0,90.0,High,91.0,90.0,90.0,0.25892857142857145,0.24702380952380953,1.0,0,0,0.7671037628278221,0.47690992018244016,0.4991448118586089,0.9007981755986317,2
434,HS,West Bengal Council of Higher Secondary Education ,75.0,82.0,86,51,70.0,56.0,83.0,73.8,0.7971,West Bengal Board of Secondary Education ,Bengali,290.0,72.5,37.29855,Medium,56.0,78.5,37.29855,0.296551724137931,0.28620689655172415,2.1046394564936173,0,0,0.750570125427594,0.042759407069555305,0.4991448118586089,0.033922462941847205,20
435,HS,WBCHSE,74.0,85.0,88,72,81.0,82.0,83.0,82.0,77.0,WBCHSE,Bengali,324.0,81.0,79.5,High,82.0,79.5,79.5,0.2716049382716049,0.25617283950617287,1.0,0,0,0.7847776510832383,0.4372862029646522,0.4991448118586089,0.7346066134549601,2
436,HS,W.B.C.H.S.E,80.0,82.0,44,48,70.0,57.0,83.0,67.4,0.7285,W.B.B.S.E,Bengali,245.0,61.25,34.06425,Medium,57.0,81.0,34.06425,0.17959183673469387,0.33877551020408164,2.3778594861181443,0,0,0.02708095781071836,0.009122006841505131,0.4991448118586089,0.037058152793614595,20
437,HS,West Bengal council of higher secondary education ,85.0,91.0,93,60,80.0,70.0,83.0,83.8,82.29,West Bengal board of secondary education ,Bengali,316.0,79.0,83.045,Medium,70.0,88.0,83.045,0.29430379746835444,0.2626582278481013,1.0596664459028238,0,0,0.8848346636259977,0.1790193842645382,0.4991448118586089,0.1525085518814139,3
438,HS,WBCHSE ,81.0,90.0,71,65,84.0,74.0,83.0,80.0,83.28,WBBSE,Bengali,303.0,75.75,81.64,Medium,74.0,85.5,81.64,0.23432343234323433,0.2739273927392739,1.047280744732974,0,0,0.44954389965792474,0.2967502850627138,0.4991448118586089,0.2112314709236032,4
439,ISC,Council For The Indian School Certificate Examinations,80.0,86.0,66,61,57.0,80.0,84.0,69.6,0.7917,Council For The Indian School Certificate Examinations,English,268.0,67.0,35.19585,Medium,80.0,83.0,35.19585,0.2462686567164179,0.31343283582089554,2.358232575715603,0,1,0.3566134549600912,0.20496009122006842,0.8494868871151653,0.4985746864310148,9
440,HS,WBCHSE ,83.0,91.0,48,67,54.0,60.0,83.0,71.0,85.7,WBBSE,English,252.0,63.0,78.35,Medium,60.0,87.0,78.35,0.19047619047619047,0.32936507936507936,1.1104020421186982,0,1,0.07953249714937287,0.33409350057012543,0.4991448118586089,0.049600912200684154,9
441,HS,West Bengal Council of Higher Secondary Education ,70.0,83.0,45,58,64.0,65.0,83.0,68.0,0.66,West Bengal Board Of Secondary education ,English,250.0,62.5,34.33,Medium,65.0,76.5,34.33,0.18,0.332,2.2283716865715117,0,1,0.04532497149372862,0.15022805017103763,0.4991448118586089,0.09920182440136831,20
442,HS,West Bengal council of higher secondary education ,88.0,92.0,90,76,90.0,85.0,83.0,89.0,93.42,West Bengal board of secondary education ,Bengali,339.0,84.75,91.21,High,85.0,90.0,91.21000000000001,0.26548672566371684,0.2448377581120944,0.9867339107553995,0,0,0.8192702394526796,0.5267958950969214,0.4991448118586089,0.7907639680729761,2
443,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,71.0,82.0,67,57,57.0,53.0,83.0,66.8,78.7,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,264.0,66.0,72.75,Medium,53.0,76.5,72.75,0.2537878787878788,0.3143939393939394,1.0515463917525774,0,0,0.37457240592930446,0.13740022805017105,0.4991448118586089,0.021664766248574687,10
444,SSCE,CBSE,70.0,76.0,43,60,57.0,68.0,83.0,66.2,78.0,ICSE,English,243.0,60.75,72.1,Medium,68.0,73.0,72.1,0.17695473251028807,0.34156378600823045,1.0124826629680999,1,1,0.01282782212086659,0.1790193842645382,0.4991448118586089,0.13768529076396807,10
445,HS,WBCHSE,84.0,88.0,74,64,76.0,84.0,83.0,81.2,0.9371,WBBSE,Bengali,297.0,74.25,41.06855,Medium,84.0,86.0,41.06855,0.24915824915824916,0.27946127946127947,2.094059809757101,0,0,0.5017103762827823,0.2759407069555302,0.4991448118586089,0.7725199543899658,9
