Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude,BIO_score,LANG_score,OVERALL,MATH_STEM_RATIO,CS_STEM_RATIO,LANG_OVERALL_RATIO,CBSE_FLAG,ENGLISH_MEDIUM,Total Math_PERCENTILE,Total PHY_PERCENTILE,Total CS/IT_PERCENTILE,Total BIO/other_PERCENTILE,career_20
143,SSCE,Central board of secondary education ,80.0,84.0,81,73,68.0,79.0,83.0,79.4,88.57,West bengal board of secondary education ,English,305.0,76.25,83.985,Medium,79.0,82.0,83.985,0.26557377049180325,0.2721311475409836,0.9763648270524499,0,1,0.6505131128848347,0.45923603192702395,0.4991448118586089,0.29389965792474343,4
144,HS,WBCHSE,93.0,67.0,71,70,63.0,80.0,61.0,72.8,80.1,WBBSE,English,265.0,66.25,76.44999999999999,Medium,80.0,80.0,76.44999999999999,0.2679245283018868,0.23018867924528302,1.0464355788096797,0,1,0.44954389965792474,0.3848346636259977,0.024230330672748004,0.4985746864310148,10
145,HS,CBSE,91.0,86.0,70,64,69.0,76.0,83.0,74.0,91.2,CBSE,English,286.0,71.5,82.6,Medium,76.0,88.5,82.6,0.24475524475524477,0.2902097902097902,1.0714285714285714,1,1,0.4258836944127708,0.2759407069555302,0.4991448118586089,0.2525655644241733,6
146,HS,WBCHSE ,74.0,92.0,49,60,52.0,68.0,83.0,69.2,0.8743,WBCHSE ,Bengali,244.0,61.0,35.037150000000004,Medium,68.0,83.0,35.037150000000004,0.20081967213114754,0.3401639344262295,2.368914138278941,0,0,0.08437856328392246,0.1790193842645382,0.4991448118586089,0.13768529076396807,9
147,HS,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,62.0,84.0,50,60,76.0,91.0,83.0,74.6,0.5928,WEST BENGAL BOARD OF SECONDARY EDUCATION,Bengali,269.0,67.25,37.5964,Medium,91.0,73.0,37.596399999999996,0.18587360594795538,0.30855018587360594,1.9416752667808623,0,0,0.0903648802736602,0.1790193842645382,0.4991448118586089,0.9007981755986317,11
148,Other,"BIHAR SCHOOL EXAMINATION BOARD, PATNA",61.0,70.0,34,55,52.0,80.0,83.0,54.4,63.5,BIHAR SCHOOL EXAMINATION BOARD PATNA ,Hindi,224.0,56.0,58.95,Low,80.0,65.5,58.95,0.15178571428571427,0.3705357142857143,1.1111111111111112,0,0,0.0019954389965792475,0.1080387685290764,0.4991448118586089,0.4985746864310148,12
149,Other,CBSE,71.0,86.0,54,63,54.0,80.0,69.0,62.2,68.16,ICSE,English,240.0,60.0,65.18,Low,80.0,78.5,65.18,0.225,0.2875,1.2043571647744706,1,1,0.13968072976054732,0.2508551881413911,0.055872291904218926,0.4985746864310148,12
150,HS,WBCHSE ,73.0,91.0,51,57,58.0,64.0,83.0,68.6,0.6414,WBBSE ,Bengali,249.0,62.25,34.6207,Medium,64.0,82.0,34.6207,0.20481927710843373,0.3333333333333333,2.3685251886876926,0,0,0.0983466362599772,0.13740022805017105,0.4991448118586089,0.08637400228050171,9
151,HS,west bengal council of higher secondary education,77.0,84.0,72,61,65.0,73.0,83.0,74.2,0.587,west bengal board of secondary education,Bengali,281.0,70.25,37.3935,Medium,73.0,80.5,37.3935,0.25622775800711745,0.29537366548042704,2.1527805634669126,0,0,0.4655074116305587,0.20496009122006842,0.4991448118586089,0.1961231470923603,13
152,SSCE,Central board of secondary education ,88.0,68.0,85,74,76.0,80.0,81.0,80.8,92.4,Central board of secondary education ,English,316.0,79.0,86.6,Medium,80.0,78.0,86.6,0.2689873417721519,0.2563291139240506,0.9006928406466513,0,1,0.7320410490307868,0.47690992018244016,0.13911060433295325,0.4985746864310148,4
153,HS,WBCHSE ,86.0,91.0,98,83,74.0,80.0,95.0,90.6,91.5,WBBSE ,Bengali,350.0,87.5,91.05,High,80.0,88.5,91.05,0.28,0.2714285714285714,0.9719934102141681,0,0,0.9683580387685291,0.7032497149372862,0.9615165336374002,0.4985746864310148,1
154,ISC,ISC,88.0,88.0,72,70,78.0,84.0,83.0,82.0,90.0,ICSE,English,303.0,75.75,86.0,Medium,84.0,88.0,86.0,0.2376237623762376,0.2739273927392739,1.0232558139534884,0,1,0.4655074116305587,0.3848346636259977,0.4991448118586089,0.7725199543899658,4
155,HS,Central Board Of Secondary Education ,89.0,86.0,82,86,91.0,80.0,83.0,86.2,94.85,West Bengal Board Of Secondary Education ,Bengali,342.0,85.5,90.525,High,80.0,87.5,90.525,0.23976608187134502,0.24269005847953215,0.9665838166252416,0,0,0.6710376282782212,0.7785062713797035,0.4991448118586089,0.4985746864310148,1
156,HS,West Bengal Council Of Higher Secondary Education ,90.0,88.0,78,74,77.0,80.0,95.0,85.6,88.71,West Bengal Board of Secondary Education ,Bengali,324.0,81.0,87.155,High,80.0,89.0,87.155,0.24074074074074073,0.2932098765432099,1.0211691813435833,0,0,0.5920752565564424,0.47690992018244016,0.9615165336374002,0.4985746864310148,2
157,SSCE,CBSE,81.0,86.0,94,95,95.0,80.0,96.0,92.2,93.2,CBSE,English,380.0,95.0,92.7,High,80.0,83.5,92.7,0.24736842105263157,0.25263157894736843,0.9007551240560949,1,1,0.9033637400228051,0.9677879133409351,0.9740592930444698,0.4985746864310148,1
158,ISC,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,90.0,91.0,85,75,71.0,80.0,95.0,87.2,0.923,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,English,326.0,81.5,44.0615,High,80.0,90.5,44.0615,0.2607361963190184,0.29141104294478526,2.053947323627203,0,1,0.7320410490307868,0.4991448118586089,0.9615165336374002,0.4985746864310148,2
159,HS,Wbchse,75.0,65.0,68,86,60.0,65.0,83.0,71.8,84.0,Wbbs,Bengali,297.0,74.25,77.9,Medium,65.0,70.0,77.9,0.22895622895622897,0.27946127946127947,0.8985879332477534,0,0,0.3939566704675028,0.7785062713797035,0.4991448118586089,0.09920182440136831,10
160,Other,Central Board of Secondary Education (CBSE),85.0,86.0,44,54,52.0,58.0,83.0,58.6,0.821,ICSE,English,233.0,58.25,29.7105,Low,58.0,85.5,29.7105,0.1888412017167382,0.3562231759656652,2.8777704851820065,1,1,0.02708095781071836,0.09606613454960092,0.4991448118586089,0.04133409350057012,9
