Sl_No,12th_Name,12th_Board,Total Lang1,Total Lang2,Total Math,Total PHY,Total CHE,Total BIO/other,Total CS/IT,12th_Pct,10th_Pct,10th_Board,10th_Medium,STEM_Total,STEM_Avg,Overall_Avg,Aptitude
150,HS,WBCHSE ,73.0,91.0,51,57,58.0,64.0,83.0,68.6,0.6414,WBBSE ,Bengali,249.0,62.25,34.6207,Medium
151,HS,west bengal council of higher secondary education,77.0,84.0,72,61,65.0,73.0,83.0,74.2,0.587,west bengal board of secondary education,Bengali,281.0,70.25,37.3935,Medium
152,SSCE,Central board of secondary education ,88.0,68.0,85,74,76.0,80.0,81.0,80.8,92.4,Central board of secondary education ,English,316.0,79.0,86.6,Medium
153,HS,WBCHSE ,86.0,91.0,98,83,74.0,80.0,95.0,90.6,91.5,WBBSE ,Bengali,350.0,87.5,91.05,High
154,ISC,ISC,88.0,88.0,72,70,78.0,84.0,83.0,82.0,90.0,ICSE,English,303.0,75.75,86.0,Medium
155,HS,Central Board Of Secondary Education ,89.0,86.0,82,86,91.0,80.0,83.0,86.2,94.85,West Bengal Board Of Secondary Education ,Bengali,342.0,85.5,90.525,High
156,HS,West Bengal Council Of Higher Secondary Education ,90.0,88.0,78,74,77.0,80.0,95.0,85.6,88.71,West Bengal Board of Secondary Education ,Bengali,324.0,81.0,87.155,High
157,SSCE,CBSE,81.0,86.0,94,95,95.0,80.0,96.0,92.2,93.2,CBSE,English,380.0,95.0,92.7,High
158,ISC,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,90.0,91.0,85,75,71.0,80.0,95.0,87.2,0.923,COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS,English,326.0,81.5,44.0615,High
159,HS,Wbchse,75.0,65.0,68,86,60.0,65.0,83.0,71.8,84.0,Wbbs,Bengali,297.0,74.25,77.9,Medium
160,Other,Central Board of Secondary Education (CBSE),85.0,86.0,44,54,52.0,58.0,83.0,58.6,0.821,ICSE,English,233.0,58.25,29.7105,Low
161,HS,CBSE,81.0,82.0,79,83,73.0,80.0,83.0,79.6,88.8,ICSE,English,318.0,79.5,84.19999999999999,Medium
162,ISC,ICSE,83.0,83.0,62,58,47.0,65.0,83.0,70.2,0.76,ICSE,English,250.0,62.5,35.480000000000004,Medium
163,HS,CBSE,91.0,86.0,93,91,85.0,80.0,99.0,91.8,98.0,CBSE,English,368.0,92.0,94.9,High
164,ISC,CISCE,90.0,90.0,73,80,69.0,86.0,83.0,83.8,78.0,CISCE,English,305.0,76.25,80.9,Medium
165,HS,WBCHSE ,71.0,91.0,57,60,84.0,67.0,83.0,74.6,80.9,WBBSE ,Bengali,284.0,71.0,77.75,Medium
166,SSCE,CBSE,93.0,83.0,95,67,61.0,83.0,91.0,89.0,94.3,CBSE,English,314.0,78.5,91.65,Medium
167,HS,West Bengal Council of Higher Secondary Education,76.0,97.0,65,51,55.0,67.0,83.0,72.0,88.28,West Bengal Board of Secondary Education,Bengali,254.0,63.5,80.14,Medium
168,HS,WBCHSE,94.0,88.0,84,78,88.0,80.0,96.0,90.0,91.71,WBBSE,Bengali,346.0,86.5,90.85499999999999,High
169,ISC,CISCE,93.0,93.0,87,74,85.0,80.0,93.0,90.2,92.8,CISCE,English,339.0,84.75,91.5,High
170,SSCE,CBSE,82.0,86.0,53,53,52.0,56.0,83.0,59.2,0.75,CBSE,English,241.0,60.25,29.975,Medium
171,ISC,CISCE,91.0,86.0,90,91,93.0,92.0,83.0,91.4,0.946,ICSE,English,357.0,89.25,46.173,High
